date,ASSETS|CONTRIBUTIONS TO INTERNATIONAL ORGANIZATIONS (GOVT ACCOUNT)|_total,ASSETS|GOVERNMENT SECURITIES|Government Securities under Domestic Law,ASSETS|GOVERNMENT SECURITIES|Government Securities under Foreign Law,ASSETS|GOVERNMENT SECURITIES|Provision for Devaluation of Govt Securities,ASSETS|GOVERNMENT SECURITIES|Securities from Active Repo Operations,ASSETS|GOVERNMENT SECURITIES|_total,ASSETS|INTERNATIONAL RESERVES|Derivative Instruments on International Reserves,ASSETS|INTERNATIONAL RESERVES|Foreign Currency Deposits,ASSETS|INTERNATIONAL RESERVES|Gold (Net of Provisions),ASSETS|INTERNATIONAL RESERVES|Investable Foreign Currency Placements,ASSETS|INTERNATIONAL RESERVES|Multilateral Credit Agreements,ASSETS|INTERNATIONAL RESERVES|_total,ASSETS|LOANS TO DOMESTIC FINANCIAL SYSTEM|Financial Institutions,ASSETS|LOANS TO DOMESTIC FINANCIAL SYSTEM|Provision for Bad Debts,ASSETS|LOANS TO DOMESTIC FINANCIAL SYSTEM|_total,ASSETS|OTHER ASSETS|_total,ASSETS|RIGHTS FROM FINANCIAL DERIVATIVE INSTRUMENTS|_total,ASSETS|RIGHTS FROM REPO OPERATIONS|_total,ASSETS|TRANSITORY ADVANCES TO NATIONAL GOVERNMENT|_total,LIABILITIES|COUNTERPART OF GOVT CONTRIBUTIONS TO INTL ORGANIZATIONS|_total,LIABILITIES|CURRENT ACCOUNTS IN OTHER CURRENCIES|_total,LIABILITIES|MEANS OF PAYMENT IN OTHER CURRENCIES|Foreign Currency Cancellation Checks in Circulation,LIABILITIES|MEANS OF PAYMENT IN OTHER CURRENCIES|Investment Deposit Certificates,LIABILITIES|MEANS OF PAYMENT IN OTHER CURRENCIES|_total,LIABILITIES|MONETARY BASE|Notes and Coins in Circulation,LIABILITIES|MONETARY BASE|Peso Cancellation Checks in Circulation,LIABILITIES|MONETARY BASE|Peso Current Accounts,LIABILITIES|MONETARY BASE|_total,LIABILITIES|MULTILATERAL CREDIT AGREEMENT DEBTS|_total,LIABILITIES|NATIONAL GOVERNMENT AND OTHER DEPOSITS|Other Deposits,LIABILITIES|NATIONAL GOVERNMENT AND OTHER DEPOSITS|_total,LIABILITIES|OBLIGATIONS FROM FINANCIAL DERIVATIVE INSTRUMENTS|_total,LIABILITIES|OBLIGATIONS WITH INTERNATIONAL ORGANIZATIONS|Counterpart of Reserve Tranche Usage,LIABILITIES|OBLIGATIONS WITH INTERNATIONAL ORGANIZATIONS|Obligations,LIABILITIES|OBLIGATIONS WITH INTERNATIONAL ORGANIZATIONS|_total,LIABILITIES|OTHER DEPOSITS|_total,LIABILITIES|OTHER LIABILITIES|_total,LIABILITIES|PROVISIONS|_total,LIABILITIES|REPO OBLIGATIONS|_total,LIABILITIES|SDR ALLOCATIONS|Counterpart of SDR Allocations,LIABILITIES|SDR ALLOCATIONS|SDR Allocations,LIABILITIES|SDR ALLOCATIONS|_total,LIABILITIES|SECURITIES ISSUED BY THE BCRA|Notes and Bonds in Domestic Currency,LIABILITIES|SECURITIES ISSUED BY THE BCRA|Notes and Bonds in Foreign Currency,LIABILITIES|SECURITIES ISSUED BY THE BCRA|_total,NET_EQUITY|_total
2026-05-07,5.956,80.62,0.07,-0.001,0.0,80.69,0.036,19.726,9.348,16.843,0.0,45.953,0.257,-0.221,0.036,1.178,0.0,14.743,2.17,4.648,16.022,0.0,0.017,0.017,18.259,0.0,11.358,29.617,0.001,6.552,6.552,0.009,-1.1,2.319,1.218,0.007,24.396,0.187,7.76,-6.544,6.983,0.438,0.167,12.136,12.304,47.549
